Number,StationName
0,USGS-LESTER LEWIS/S788
1,NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795
2,NWFWMD-BRADFORD BROOK DEEP/S793
3,NWFWMD-BRADFORD BROOK SHALLOW
4,TOM BROWN TEST/S791
5,USGS-OLSON RD./S677
6,NWFWMD-HQ FLORIDAN OBS/S704
7,USGS-LAKE JACKSON INTERMEDIATE/S706
8,NWFWMD-NITRATE 1
9,NWFWMD-NITRATE 2/S790
10,NWFWMD-NITRATE 4/S782
11,NWFWMD-NITRATE 5/S796
12,NWFWMD-NITRATE 6/S797
13,WAKULLA CORRECTIONAL INSTITUTE 1/S779
14,WAKULLA CONDUIT WELL@WEST OF HWY 61
15,FGS - SULLIVAN SINK 1
16,NWFWMD GW-2F-LZ (FT BRADEN)/S802
17,NWFWMD GW-3F-LZ (ANF FR-305)
18,NWFWMD GW-4F-UZ (HWY27 DOT)
19,NWFWMD GW-5F (LEON CTY VFD)/S814
20,NWFWMD GW-6F (MICC GREENWAY)/S816
21,NWFWMD GW-7F (LEON CR-59)/S818
22,NWFWMD GW-5S (LEON CTY VFD)
23,NWFWMD GW-7S (LEON CR-59)
24,NWFWMD GW-4F-LZ (HWY27 DOT)/S812
25,NWFWMD GW-12F (RIVERSPRINGS MS)/S820
26,NWFWMD GW-2S (FT BRADEN)/S805
27,NWFWMD GW-6S (MICC GREENWAY)
28,NWFWMD GW-2F-UZ (FT BRADEN)/S826
29,NWFWMD GW-3F-UZ (ANF FR-305)
30,AMES SINK/S555
31,MUNSON SLOUGH @ CAPITAL CIRCLE
32,FORDS ARM TRIB@MERD
33,ALFORD ARM TRIB@BUCK
34,CENTRAL D.D.@ORANGE
35,WEST DRAINAGE DITCH @ ROBERTS AVE
36,LAKE KANTURK OUTFALL
37,LAKE LAFAYETTE OUTFALL
38,NE D.D.@MAHAN DR
39,PARK AV D.D.@ VIOLET - S100
40,LAKE JACKSON FACILITY AKA 64/606
41,NE Drainage Ditch @ Centerville and Blairstone
42,Central Drainage Ditch @ Lake Bradford Road
43,Boone Blvd Holding pond (City ID 700)
44,St. Marks River @ San Marcos de Apalachee S.P.
45,Still Creek at Capitola Rd
46,Lake Iamonia Outfall @ Meridian Rd
47,LEON HIGH SCHOOL STORMWATER INLET
48,LAKE BRADFORD
49,ST. MARKS RIVER @ TRAM RD
50,LAKE KINSALE OUTFALL
51,LAKE MUNSON OUTFALL
52,MUNSON SLOUGH @ OAKRIDGE ROAD
53,BLACK CREEK @ CR 267
54,LOST CREEK @ ARRAN RD (CR 368)
55,BRADFORD BROOK @ AENON CHURCH ROAD
56,WEST DRAINAGE DITCH @ US 90
57,ALFORD ARM TRIB@MICC
58,EAST D.D.@ADAMS ST
59,QUINCY CREEK@SR 267
60,FISHER CREEK @ SPRINGHILL RD.
61,WAKULLA RIVER AT BOAT TRAM
62,John Knox Pond Megginnis Tributary
63,Lake Jackson - Miller Landing Road
64,Lauder Pond near Thomasville/Bannerman Rd
65,Regional Stormwater Facility - City of Tallahassee
66,Southwood SW Pond SB111B
67,Southwood SW Pond WD005
68,Lake Miccosukee @ US90 Outfall
69,LAKE IAMONIA EAST
70,LAKE KILLARNY AT MCLAUGHLIN DRIVE
71,LAKE KANTURK AT CLIFDEN DR
72,INDIAN SPRING RUN AT SR61
73,ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET
